,Count
BB_DO_mgl_IDW_2022_1,4
BB_DO_mgl_IDW_2022_10,3
BB_DO_mgl_IDW_2022_2,3
BB_DO_mgl_IDW_2022_3,3
BB_DO_mgl_IDW_2022_4,3
BB_DO_mgl_IDW_2022_5,3
BB_DO_mgl_IDW_2022_6,4
BB_DO_mgl_IDW_2022_7,3
BB_DO_mgl_IDW_2022_8,3
BB_DO_mgl_IDW_2022_9,3
BB_DO_mgl_IDW_2023_11,3
BB_DO_mgl_IDW_2023_12,3
BB_Sal_ppt_IDW_2022_1,3
BB_Sal_ppt_IDW_2022_10,3
BB_Sal_ppt_IDW_2022_2,3
BB_Sal_ppt_IDW_2022_3,3
BB_Sal_ppt_IDW_2022_4,3
BB_Sal_ppt_IDW_2022_5,3
BB_Sal_ppt_IDW_2022_6,3
BB_Sal_ppt_IDW_2022_7,3
BB_Sal_ppt_IDW_2022_8,3
BB_Sal_ppt_IDW_2022_9,3
BB_Sal_ppt_IDW_2023_11,3
BB_Sal_ppt_IDW_2023_12,3
BB_Turb_ntu_IDW_2022_1,3
BB_Turb_ntu_IDW_2022_10,3
BB_Turb_ntu_IDW_2022_2,3
BB_Turb_ntu_IDW_2022_3,3
BB_Turb_ntu_IDW_2022_4,3
BB_Turb_ntu_IDW_2022_5,3
BB_Turb_ntu_IDW_2022_6,3
BB_Turb_ntu_IDW_2022_7,3
BB_Turb_ntu_IDW_2022_8,3
BB_Turb_ntu_IDW_2022_9,3
BB_Turb_ntu_IDW_2023_11,3
BB_Turb_ntu_IDW_2023_12,3
BB_T_c_IDW_2022_1,3
BB_T_c_IDW_2022_10,3
BB_T_c_IDW_2022_2,3
BB_T_c_IDW_2022_3,3
BB_T_c_IDW_2022_4,3
BB_T_c_IDW_2022_5,3
BB_T_c_IDW_2022_6,3
BB_T_c_IDW_2022_7,3
BB_T_c_IDW_2022_8,3
BB_T_c_IDW_2022_9,3
BB_T_c_IDW_2023_11,3
BB_T_c_IDW_2023_12,3
CH_DO_mgl_IDW_2017_1,3
CH_DO_mgl_IDW_2017_10,3
CH_DO_mgl_IDW_2017_2,3
CH_DO_mgl_IDW_2017_3,3
CH_DO_mgl_IDW_2017_4,3
CH_DO_mgl_IDW_2017_5,3
CH_DO_mgl_IDW_2017_6,3
CH_DO_mgl_IDW_2017_7,3
CH_DO_mgl_IDW_2017_8,3
CH_DO_mgl_IDW_2017_9,3
CH_DO_mgl_IDW_2018_11,3
CH_DO_mgl_IDW_2018_12,3
CH_Sal_ppt_IDW_2017_1,3
CH_Sal_ppt_IDW_2017_10,3
CH_Sal_ppt_IDW_2017_2,4
CH_Sal_ppt_IDW_2017_3,3
CH_Sal_ppt_IDW_2017_4,3
CH_Sal_ppt_IDW_2017_5,3
CH_Sal_ppt_IDW_2017_6,3
CH_Sal_ppt_IDW_2017_7,3
CH_Sal_ppt_IDW_2017_8,3
CH_Sal_ppt_IDW_2017_9,3
CH_Sal_ppt_IDW_2018_11,3
CH_Sal_ppt_IDW_2018_12,3
CH_Turb_ntu_IDW_2017_1,3
CH_Turb_ntu_IDW_2017_10,3
CH_Turb_ntu_IDW_2017_2,3
CH_Turb_ntu_IDW_2017_3,3
CH_Turb_ntu_IDW_2017_4,3
CH_Turb_ntu_IDW_2017_5,3
CH_Turb_ntu_IDW_2017_6,3
CH_Turb_ntu_IDW_2017_7,3
CH_Turb_ntu_IDW_2017_8,3
CH_Turb_ntu_IDW_2017_9,3
CH_Turb_ntu_IDW_2018_11,3
CH_Turb_ntu_IDW_2018_12,4
CH_T_c_IDW_2017_1,3
CH_T_c_IDW_2017_10,3
CH_T_c_IDW_2017_2,3
CH_T_c_IDW_2017_3,3
CH_T_c_IDW_2017_4,3
CH_T_c_IDW_2017_5,3
CH_T_c_IDW_2017_6,3
CH_T_c_IDW_2017_7,3
CH_T_c_IDW_2017_8,3
CH_T_c_IDW_2017_9,3
CH_T_c_IDW_2018_11,3
CH_T_c_IDW_2018_12,3
EB_DO_mgl_IDW_2017_1,3
EB_DO_mgl_IDW_2017_10,3
EB_DO_mgl_IDW_2017_2,3
EB_DO_mgl_IDW_2017_3,3
EB_DO_mgl_IDW_2017_4,3
EB_DO_mgl_IDW_2017_5,3
EB_DO_mgl_IDW_2017_6,3
EB_DO_mgl_IDW_2017_7,3
EB_DO_mgl_IDW_2017_8,3
EB_DO_mgl_IDW_2017_9,3
EB_DO_mgl_IDW_2018_11,3
EB_DO_mgl_IDW_2018_12,3
EB_Sal_ppt_IDW_2017_1,3
EB_Sal_ppt_IDW_2017_10,3
EB_Sal_ppt_IDW_2017_2,3
EB_Sal_ppt_IDW_2017_3,3
EB_Sal_ppt_IDW_2017_4,3
EB_Sal_ppt_IDW_2017_5,3
EB_Sal_ppt_IDW_2017_6,3
EB_Sal_ppt_IDW_2017_7,3
EB_Sal_ppt_IDW_2017_8,3
EB_Sal_ppt_IDW_2017_9,3
EB_Sal_ppt_IDW_2018_11,3
EB_Sal_ppt_IDW_2018_12,3
EB_Turb_ntu_IDW_2017_1,3
EB_Turb_ntu_IDW_2017_10,3
EB_Turb_ntu_IDW_2017_2,3
EB_Turb_ntu_IDW_2017_3,3
EB_Turb_ntu_IDW_2017_4,3
EB_Turb_ntu_IDW_2017_6,3
EB_Turb_ntu_IDW_2017_7,3
EB_Turb_ntu_IDW_2017_8,3
EB_Turb_ntu_IDW_2018_11,3
EB_Turb_ntu_IDW_2018_12,3
EB_T_c_IDW_2017_1,3
EB_T_c_IDW_2017_10,3
EB_T_c_IDW_2017_2,3
EB_T_c_IDW_2017_3,3
EB_T_c_IDW_2017_4,3
EB_T_c_IDW_2017_5,3
EB_T_c_IDW_2017_6,3
EB_T_c_IDW_2017_7,3
EB_T_c_IDW_2017_8,3
EB_T_c_IDW_2017_9,3
EB_T_c_IDW_2018_11,3
EB_T_c_IDW_2018_12,3
GTM_DO_mgl_IDW_2016_2,3
GTM_DO_mgl_IDW_2016_3,3
GTM_DO_mgl_IDW_2016_4,3
GTM_DO_mgl_IDW_2016_5,3
GTM_DO_mgl_IDW_2016_6,3
GTM_DO_mgl_IDW_2016_7,3
GTM_DO_mgl_IDW_2016_8,3
GTM_DO_mgl_IDW_2016_9,3
GTM_DO_mgl_IDW_2017_11,3
GTM_DO_mgl_IDW_2017_12,3
GTM_Sal_ppt_IDW_2016_1,3
GTM_Sal_ppt_IDW_2016_2,3
GTM_Sal_ppt_IDW_2016_3,3
GTM_Sal_ppt_IDW_2016_4,3
GTM_Sal_ppt_IDW_2016_5,3
GTM_Sal_ppt_IDW_2016_6,3
GTM_Sal_ppt_IDW_2016_7,3
GTM_Sal_ppt_IDW_2016_8,3
GTM_Sal_ppt_IDW_2016_9,3
GTM_Sal_ppt_IDW_2017_11,3
GTM_Sal_ppt_IDW_2017_12,3
GTM_Turb_ntu_IDW_2016_1,3
GTM_Turb_ntu_IDW_2016_2,3
GTM_Turb_ntu_IDW_2016_3,3
GTM_Turb_ntu_IDW_2016_4,3
GTM_Turb_ntu_IDW_2016_5,3
GTM_Turb_ntu_IDW_2016_6,3
GTM_Turb_ntu_IDW_2016_7,3
GTM_Turb_ntu_IDW_2016_8,4
GTM_Turb_ntu_IDW_2016_9,3
GTM_Turb_ntu_IDW_2017_11,3
GTM_Turb_ntu_IDW_2017_12,3
GTM_T_c_IDW_2016_1,3
GTM_T_c_IDW_2016_2,3
GTM_T_c_IDW_2016_3,3
GTM_T_c_IDW_2016_4,3
GTM_T_c_IDW_2016_5,4
GTM_T_c_IDW_2016_6,3
GTM_T_c_IDW_2016_7,3
GTM_T_c_IDW_2016_8,3
GTM_T_c_IDW_2016_9,3
GTM_T_c_IDW_2017_11,3
GTM_T_c_IDW_2017_12,3
IDW_Month,1
